"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","relation.1"
"GSM172405","Monocyte High PBM 1","GSM172405","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 1","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172405/suppl/GSM172405.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172406","Monocyte High PBM 2","GSM172406","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 2","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172406/suppl/GSM172406.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172407","Monocyte High PBM 3","GSM172407","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 3","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172407/suppl/GSM172407.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172408","Monocyte High PBM 4","GSM172408","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 4","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172408/suppl/GSM172408.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172409","Monocyte High PBM 5","GSM172409","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 5","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172409/suppl/GSM172409.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172410","Monocyte High PBM 6","GSM172410","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 6","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172410/suppl/GSM172410.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172411","Monocyte High PBM 7","GSM172411","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 7","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172411/suppl/GSM172411.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172412","Monocyte High PBM 8","GSM172412","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 8","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172412/suppl/GSM172412.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172413","Monocyte High PBM 9","GSM172413","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 9","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172413/suppl/GSM172413.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
"GSM172414","Monocyte High PBM 10","GSM172414","Public on Mar 01 2008","Feb 28 2007","Apr 15 2025","RNA","1","Circulating monocytes in low-PBM phase","Homo sapiens","Monocyte-High-PBM 10","total RNA","Total RNA from monocytes was extracted using Qiagen kit (Qiagen, Inc., Valencia, CA) following the procedures recommended by the manufacturer. Experimental procedures for microarray assays were performed according to the manufacturer's protocol (Affymetrix, Santa Clara, CA). Briefly, RNA was converted to double-stranded cDNA.","biotin","In vitro transcription was performed to produce biotin-labeled cRNA (BioArray HighYield RNA Transcription Labeling Kit; Enzo Diagnostics).","9606","Biotinylated cRNA was cleaned, fragmented, and hybridized (Affymetrix Genechip Hybridization Oven 640) to Affymetrix HG-U133 plus2.0 GeneChips, containing about 38,500 human genes as represented by analysis of over 47,000 transcripts and variants.","Then, microarrays were washed (Affymetrix Fluidics Station 450), stained with phycoerythrin-streptavidin, and scanned using an Affymetrix scanner (Gene array Scanner 3000).","no additional information","GCOS 1.2 (GeneChip Operating Software) was used to process the probe-level raw data. We used the RMA (Robust Multiarray Average) algorithm molded in R package to transform the probe-level raw data into gene expression data.","GPL570","Shu-Feng,,Lei","lei@hunnu.edu.cn","86-731-8872791","Lab of Molecular and Statistical Genetics","College of Life Science","Hunan Normal University","Lushan Road 36","Changsha","Hunan","410081","China","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM172nnn/GSM172414/suppl/GSM172414.CEL.gz","54675","Reanalyzed by: GSE64985","Reanalyzed by: GSE119087"
